ticker,name,sector,industry,price_usd,change_pct,pe_ratio,div_yield_pct,mkt_cap_usd,52w_high,52w_low,52w_position,analyst_rating,beta,revenue_bn,profit_margin,price_to_book,debt_to_equity,roe_pct,earnings_growth
BRO,"Brown & Brown,",Financial Services,Insurance Brokers,69.37,0.74,22.0,96.0,23211921408,98.3,53.81,35.0,Hold,0.58,6.7,18.1,1.82,63.98,10.02,7.1
BF-B,Brown Forman,Consumer Defensive,Beverages - Wineries & Distilleries,27.15,-1.56,18.0,335.0,12458164224,31.92,22.61,48.8,Hold,0.34,3.9,18.2,3.1,64.95,17.85,-62.7
BLDR,"Builders FirstSource,",Industrials,Building Products & Equipment,67.62,-3.69,76.0,0.0,7275672576,151.03,65.1,2.9,Buy,1.42,14.4,0.7,1.82,130.79,2.51,-8.8
BG,Bunge Limited,Consumer Defensive,Farm Products,114.36,0.15,24.8,251.0,21970743296,134.87,76.01,65.2,Buy,0.65,91.8,1.1,1.38,98.0,7.18,33.0
CDNS,"Cadence Design Systems,",Technology,Software - Application,316.52,-2.15,64.1,0.0,87301275648,416.69,262.75,34.9,Buy,1.14,5.8,23.6,12.71,38.66,23.23,125.4
CZR,"Caesars Entertainment,",Consumer Cyclical,Resorts & Casinos,29.63,-0.1,41.0,0.0,6036234240,30.88,17.86,90.4,Hold,1.75,11.6,-4.0,1.79,729.87,-10.38,3.0
CPT,Camden Property Trust,Real Estate,REIT - Residential,107.28,-0.91,35.8,392.0,10785861632,119.81,96.53,46.2,Hold,0.79,1.6,20.6,2.89,125.65,7.89,-75.7
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,22.86,0.79,11.2,688.0,6816994816,34.17,19.56,22.6,Hold,0.01,9.9,6.1,1.69,182.03,15.39,86.4
COF,Capital One Financialorati,Financial Services,Credit Services,221.47,0.01,12.2,145.0,135871856640,259.64,174.24,55.3,Buy,1.02,48.1,21.9,1.32,,9.03,1111.0
CAH,"Cardinal Health,",Healthcare,Medical Distribution,234.98,-0.29,32.6,88.0,54650642432,258.3,145.87,79.3,Buy,0.52,254.2,0.7,,,,68.8
KMX,CarMax,Consumer Cyclical,Auto & Truck Dealerships,57.4,-1.93,35.7,0.0,8145697792,62.56,30.26,84.0,N/A,1.16,28.2,0.8,1.33,307.79,3.59,-5.2
CCL,Carnivaloration Ltd.,Consumer Cyclical,Travel Services,27.27,-1.66,12.5,162.0,37350334464,34.03,23.45,36.1,Buy,2.34,27.3,11.2,2.89,201.56,26.69,-6.5
CARR,Carrier Globaloration,Industrials,Building Products & Equipment,61.42,-1.82,44.5,153.0,51014246400,76.76,50.24,42.2,Buy,1.31,22.1,5.5,3.85,92.0,8.97,-11.8
CTLT,CTLT,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
CAT,"Caterpillar,",Industrials,Farm & Heavy Construction Machinery,840.87,-4.63,38.0,74.0,386526806016,1073.46,410.52,64.9,Buy,1.6,74.7,14.5,19.93,232.78,56.97,68.2
CBOE,"Cboe Global Markets,",Financial Services,Financial Data & Stock Exchanges,290.99,-1.36,23.0,117.0,30388379648,371.18,227.15,44.3,Hold,0.41,5.1,26.7,5.41,28.09,26.3,50.2
CBRE,CBRE Group,Real Estate,Real Estate Services,147.3,-0.45,33.9,0.0,42654441472,174.27,121.69,48.7,Buy,1.19,43.7,3.0,5.08,117.79,15.8,-4.2
CDW,CDWoration,Technology,Information Technology Services,134.97,-0.24,16.3,186.0,16873602048,171.55,97.12,50.9,Buy,0.94,23.5,4.6,6.93,263.28,44.01,4.9
CE,Celaneseoration,Basic Materials,Chemicals,44.65,-0.76,7.2,27.0,4900290048,70.7,35.13,26.8,Buy,0.75,9.7,-12.0,1.18,270.2,-22.25,-37.1
COR,"Cencora,",Healthcare,Medical Distribution,316.13,1.16,23.2,77.0,60326195200,377.54,244.82,53.7,Buy,0.57,332.8,0.8,19.77,446.52,96.87,11.9
CNC,Centeneoration,Healthcare,Healthcare Plans,65.22,1.26,12.3,0.0,32218355712,69.36,28.24,89.9,Buy,1.1,180.3,-2.8,1.43,71.08,-20.36,4.6
CNX,CNX Resourcesoration,Energy,Oil & Gas E&P,35.37,0.08,5.7,0.0,5232765952,43.62,28.08,46.9,Hold,0.61,2.1,44.4,1.09,49.14,21.25,-47.7
CDAY,CDAY,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
CF,"CF Industries Holdings,",Basic Materials,Agricultural Inputs,119.72,1.65,8.7,204.0,18118201344,141.96,75.42,66.6,Hold,0.4,7.7,27.1,3.16,40.5,29.87,99.6
CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,279.19,-2.6,22.0,0.0,13328216064,289.6,144.26,92.8,Buy,1.38,4.0,-6.0,4.69,105.05,-7.52,-2.7
SCHW,Charles Schwaboration (The,Financial Services,Capital Markets,111.68,0.99,20.2,116.0,193132216320,112.2,83.96,98.2,Buy,0.75,26.0,38.8,4.39,151.11,20.27,42.6
CHTR,"Charter Communications,",Communication Services,Telecom Services,148.35,2.95,3.8,0.0,19994241024,285.82,111.55,21.1,Hold,0.68,54.4,9.1,1.04,441.58,27.2,16.1
CVX,Chevronoration,Energy,Oil & Gas Integrated,205.74,1.5,19.5,351.0,403580289024,214.71,146.49,86.9,Buy,0.49,209.4,9.8,2.13,18.96,12.23,321.9
CMG,"Chipotle Mexican Grill,",Consumer Cyclical,Restaurants,33.36,-1.18,30.9,0.0,42214346752,43.99,28.04,33.4,Buy,0.94,12.4,11.4,19.23,246.35,49.56,-1.3
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,345.29,1.3,12.1,120.0,133212839936,365.91,265.3,79.5,Buy,0.39,61.9,18.1,1.77,30.94,14.82,-0.7
CHD,"Church & Dwight Company,",Consumer Defensive,Household & Personal Products,99.13,1.17,31.5,126.0,23514021888,106.04,81.33,72.0,Buy,0.47,6.2,12.0,5.41,55.85,17.04,9.0
CI,The Cigna Group,Healthcare,Healthcare Plans,278.5,1.15,11.4,227.0,73590972416,315.47,239.51,51.3,Buy,0.32,282.4,2.3,1.72,74.29,16.76,10.2
CINF,Cincinnati Financialoratio,Financial Services,Insurance - Property & Casualty,171.35,0.17,8.1,220.0,26298464256,194.81,150.0,47.6,Buy,0.55,14.0,23.8,1.58,5.25,21.48,85.5
CTAS,Cintasoration,Industrials,Specialty Business Services,199.45,0.82,40.3,105.0,79813820416,219.87,161.16,65.2,Buy,0.92,11.3,17.8,15.53,52.65,40.71,15.6
CSCO,"Cisco Systems,",Technology,Communication Equipment,111.61,-1.14,33.9,149.0,439903518720,130.37,66.13,70.8,Buy,1.0,63.3,21.0,8.76,58.73,27.32,52.0
C,"Citigroup,",Financial Services,Banks - Diversified,137.65,-0.62,14.9,193.0,230899171328,147.96,90.68,82.0,Buy,1.1,81.7,21.8,1.2,,8.53,61.0
CFG,"Citizens Financial Group,",Financial Services,Banks - Regional,73.46,-1.14,16.2,248.0,30939648000,75.33,47.955,93.2,Buy,1.01,8.2,26.1,1.29,,8.27,41.3
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,105.55,-0.37,22.0,472.0,12764268544,128.9,84.7,47.2,Hold,0.54,6.7,8.7,141.87,2221.43,163.76,-50.1
CME,CME Group,Financial Services,Financial Data & Stock Exchanges,271.54,1.37,23.0,194.0,97640153088,329.16,218.31,48.0,Buy,0.27,6.8,63.4,3.68,14.59,15.8,2.5
CMS,CMS Energyoration,Utilities,Utilities - Regulated Electric,71.06,-0.48,21.5,319.0,21951827968,80.36,68.64,20.6,Buy,0.34,8.8,11.6,2.33,185.6,9.16,-43.9
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,88.82,2.12,26.1,244.0,382152409088,90.92,65.35,91.8,Buy,0.34,50.1,28.6,10.57,115.52,42.05,16.9
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,57.78,2.07,12.1,233.0,27329939456,87.03,37.08,41.4,Buy,0.81,21.6,10.3,1.81,14.48,14.92,3.8
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,91.46,1.39,35.4,235.0,72909422592,99.33,74.55,68.2,Buy,0.33,21.0,9.7,308.99,1388.16,267.37,-5.5
CMCSA,Comcastoration,Communication Services,Telecom Services,26.2,2.46,8.2,516.0,92974284800,32.86,21.28,42.5,Hold,0.65,124.9,9.0,1.04,100.47,11.49,-66.8
CMA,CMA,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
CAG,"ConAgra Brands,",Consumer Defensive,Packaged Foods,15.52,-0.13,10.0,788.0,7427338752,20.32,12.53,38.4,Hold,-0.05,11.3,-17.0,1.17,117.58,-25.06,3.6
COP,ConocoPhillips,Energy,Oil & Gas E&P,129.72,1.69,16.9,263.0,155837497344,135.87,85.57,87.8,Buy,0.12,64.5,14.4,2.38,35.64,14.18,107.0
ED,"Consolidated Edison,",Utilities,Utilities - Regulated Electric,109.16,0.16,18.0,322.0,40370495488,116.23,94.96,66.8,Hold,0.26,17.7,12.5,1.57,110.11,8.96,22.1
STZ,"Constellation Brands,",Consumer Defensive,Beverages - Brewers,131.0,0.34,12.4,316.0,22375370752,169.0,126.45,10.7,N/A,0.4,9.1,20.1,2.72,123.2,23.69,30.7
CEG,Constellation Energyoratio,Utilities,Utilities - Independent Power Producers,266.83,-3.94,26.1,61.0,94539833344,412.7,228.63,20.8,Buy,1.12,31.3,11.1,2.96,76.42,15.06,-46.8
COO,"The Cooper Companies,",Healthcare,Medical Instruments & Supplies,75.76,0.88,63.7,0.0,14775520256,89.83,58.89,54.5,Buy,0.82,4.2,5.6,1.79,33.09,2.85,7.9
CPRT,"Copart,",Industrials,Specialty Business Services,31.51,-0.6,19.7,0.0,30353848320,50.11,26.81,20.2,Buy,1.01,4.6,33.5,3.32,1.06,17.61,2.3
GLW,Corningorporated,Technology,Electronic Components,159.9,-7.68,80.0,65.0,137456074752,271.78,63.37,46.3,Buy,1.15,17.0,11.2,11.53,71.45,16.81,18.5
CPAY,"Corpay,",Technology,Software - Infrastructure,406.82,-0.2,24.8,0.0,26711638016,425.95,252.84,88.9,Buy,0.87,5.0,22.7,7.54,275.29,29.22,-7.0
CTVA,"Corteva,",Basic Materials,Agricultural Inputs,77.91,2.5,46.1,95.0,51981246464,90.97,60.535,57.1,Buy,0.57,17.8,5.7,2.07,19.19,4.26,-9.9
CSGP,"CoStar Group,",Real Estate,Real Estate Services,31.38,0.1,174.3,0.0,12715100160,91.89,25.89,8.3,Buy,0.73,3.6,2.1,1.6,14.54,0.89,1261.0
COST,Costco Wholesaleoration,Consumer Defensive,Discount Stores,961.35,0.82,48.1,62.0,426338353152,1096.5,844.06,46.5,Buy,0.86,293.6,3.0,25.79,60.26,29.15,45.5
CTRA,CTRA,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
CCI,Crown Castle,Real Estate,REIT - Specialty,74.03,-0.55,30.3,571.0,31496464384,104.61,69.72,12.4,Buy,0.97,4.2,20.7,,,,-67.5
CSX,CSXoration,Industrials,Railroads,50.24,-0.67,29.4,111.0,93068337152,53.6,31.8,84.6,Buy,1.21,14.5,22.2,6.61,138.07,24.36,22.7
CMI,Cummins,Industrials,Specialty Industrial Machinery,620.81,-3.17,31.7,137.0,85664997376,737.76,389.52,66.4,Buy,1.25,34.7,7.8,6.65,59.59,21.11,4.7
CVS,CVS Healthoration,Healthcare,Healthcare Plans,94.91,0.96,24.8,283.0,121387081728,110.68,69.51,61.7,Buy,0.6,412.6,1.2,1.52,95.5,6.21,188.8
DHI,"D.R. Horton,",Consumer Cyclical,Residential Construction,145.68,-1.79,14.1,121.0,40746881024,184.55,131.75,26.4,Hold,1.38,33.4,9.2,1.72,29.45,12.63,-4.8
DHR,Danaheroration,Healthcare,Diagnostics & Research,199.58,-1.51,36.1,79.0,140301959168,242.8,160.93,47.2,Buy,0.8,25.1,15.9,2.67,52.97,7.61,59.7
DRI,"Darden Restaurants,",Consumer Cyclical,Restaurants,218.86,-2.94,21.6,271.0,24849750016,229.76,169.0,82.1,Buy,0.58,13.2,9.1,11.31,364.51,53.72,36.0
DVA,DaVita,Healthcare,Medical Care Facilities,177.91,0.68,15.0,0.0,11419153408,247.49,101.0,52.5,Buy,0.87,14.0,6.0,,1241.99,88.48,55.8
DAY,DAY,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
DECK,Deckers Outdoororation,Consumer Cyclical,Footwear & Accessories,89.51,-0.67,12.8,0.0,12189638656,125.45,78.91,22.8,Buy,1.17,5.5,18.4,5.32,20.52,42.56,1.1
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,588.72,-1.87,33.4,108.0,159017566208,674.19,433.0,64.6,Buy,0.9,47.3,10.1,5.8,376.02,18.35,-8.5
DAL,"Delta Air Lines,",Industrials,Airlines,85.7,-2.16,14.5,89.0,56358293504,95.68,55.03,75.4,Buy,1.31,68.3,5.8,2.57,96.65,20.12,-25.4
